恒电位电解I-t曲线
电流参考方向：阴极电流为正
实验日期：2019-09-06
实验时间：17:18:34
静置时间(S) = 3
恒定电位(V) = -1.
运行时间(S) = 360.
采样周期(S) = 0.05
电流量程(A) = 5.0E-03
曲线样点数 = 7202


样点数据表：

序号          时间(S)        电流(A)

382           19.100        5.861887E-4
383           19.150        5.869627E-4
384           19.200        5.915259E-4
385           19.250        5.960518E-4
386           19.300        5.997224E-4
387           19.350        6.029904E-4
388           19.400        6.032027E-4
389           19.450        5.970942E-4
390           19.500        6.042795E-4
391           19.550        6.071199E-4
392           19.600        6.087119E-4
393           19.650        6.206036E-4
394           19.700        6.179319E-4
395           19.750        6.212092E-4
396           19.800        6.207441E-4
397           19.850        6.168332E-4
398           19.900        6.182283E-4
399           19.950        6.151227E-4
400           20.000        6.090580E-4
401           20.050        6.170485E-4
402           20.100        6.177601E-4
403           20.150        6.172608E-4
404           20.200        6.176290E-4
405           20.250        6.360321E-4
406           20.300        6.326830E-4
407           20.350        6.278137E-4
408           20.400        6.280416E-4
409           20.450        6.382170E-4
410           20.500        6.366625E-4
411           20.550        6.413601E-4
412           20.600        6.427210E-4
413           20.650        6.463944E-4
414           20.700        6.518537E-4
415           20.750        6.444813E-4
416           20.800        6.443970E-4
417           20.850        6.446686E-4
418           20.900        6.457455E-4
419           20.950        6.449181E-4
420           21.000        6.439194E-4
421           21.050        6.464946E-4
422           21.100        6.493972E-4
423           21.150        6.511327E-4
424           21.200        6.695482E-4
425           21.250        6.730845E-4
426           21.300        6.680593E-4
427           21.350        6.653686E-4
428           21.400        6.630965E-4
429           21.450        6.581774E-4
430           21.500        6.586082E-4
431           21.550        6.676099E-4
432           21.600        6.648319E-4
433           21.650        6.582897E-4
434           21.700        6.537295E-4
435           21.750        6.511140E-4
436           21.800        6.504898E-4
437           21.850        6.538326E-4
438           21.900        6.490539E-4
439           21.950        6.439975E-4
440           22.000        6.396028E-4
441           22.050        6.417440E-4
442           22.100        6.430331E-4
443           22.150        6.450025E-4
444           22.200        6.509486E-4
445           22.250        6.597505E-4
446           22.300        6.617793E-4
447           22.350        6.596538E-4
448           22.400        6.500309E-4
449           22.450        6.683776E-4
450           22.500        6.688834E-4
451           22.550        6.709028E-4
452           22.600        6.604622E-4
453           22.650        6.418002E-4
454           22.700        6.413319E-4
455           22.750        6.313690E-4
456           22.800        6.280041E-4
457           22.850        6.270803E-4
458           22.900        6.347274E-4
459           22.950        6.377177E-4
460           23.000        6.384947E-4
461           23.050        6.321865E-4
462           23.100        6.293837E-4
463           23.150        6.306760E-4
464           23.200        6.450274E-4
465           23.250        6.579621E-4
466           23.300        6.430205E-4
467           23.350        6.300673E-4
468           23.400        6.327672E-4
469           23.450        6.329388E-4
470           23.500        6.272800E-4
471           23.550        6.246332E-4
472           23.600        6.211561E-4
473           23.650        6.304200E-4
474           23.700        6.326922E-4
475           23.750        6.319963E-4
476           23.800        6.264934E-4
477           23.850        6.287657E-4
478           23.900        6.471936E-4
479           23.950        6.450526E-4
480           24.000        6.389441E-4
481           24.050        6.325175E-4
482           24.100        6.430331E-4
483           24.150        6.386726E-4
484           24.200        6.374959E-4
485           24.250        6.398088E-4
486           24.300        6.332229E-4
487           24.350        6.299862E-4
488           24.400        6.253105E-4
489           24.450        6.370682E-4
490           24.500        6.362598E-4
491           24.550        6.383574E-4
492           24.600        6.333009E-4
493           24.650        6.295398E-4
494           24.700        6.268118E-4
495           24.750        6.187434E-4
496           24.800        6.224077E-4
497           24.850        6.171110E-4
498           24.900        6.167114E-4
499           24.950        6.158219E-4
500           25.000        6.124010E-4
501           25.050        6.152538E-4
502           25.100        6.146576E-4
503           25.150        6.208376E-4
504           25.200        6.249453E-4
505           25.250        6.252791E-4
506           25.300        6.275360E-4
507           25.350        6.229102E-4
508           25.400        6.161153E-4
509           25.450        6.188526E-4
510           25.500        6.165991E-4
511           25.550        6.311223E-4
512           25.600        6.471968E-4
513           25.650        6.497219E-4
514           25.700        6.345963E-4
515           25.750        6.391378E-4
516           25.800        6.436572E-4
517           25.850        6.352111E-4
518           25.900        6.350644E-4
519           25.950        6.268618E-4
520           26.000        6.171828E-4
521           26.050        6.240775E-4
522           26.100        6.181535E-4
523           26.150        6.205443E-4
524           26.200        6.202321E-4
525           26.250        6.199015E-4
526           26.300        6.189806E-4
527           26.350        6.175636E-4
528           26.400        6.215150E-4
529           26.450        6.234315E-4
530           26.500        6.181191E-4
531           26.550        6.315499E-4
532           26.600        6.286222E-4
533           26.650        6.297302E-4
534           26.700        6.411291E-4
535           26.750        6.363941E-4
536           26.800        6.272956E-4
537           26.850        6.235126E-4
538           26.900        6.210750E-4
539           26.950        6.172452E-4
540           27.000        6.316279E-4
541           27.050        6.252201E-4
542           27.100        6.177883E-4
543           27.150        6.148418E-4
544           27.200        6.145515E-4
545           27.250        6.108747E-4
546           27.300        6.104407E-4
547           27.350        6.198390E-4
548           27.400        6.237404E-4
549           27.450        6.236780E-4
550           27.500        6.248298E-4
551           27.550        6.279136E-4
552           27.600        6.330232E-4
553           27.650        6.245520E-4
554           27.700        6.269461E-4
555           27.750        6.416535E-4
556           27.800        6.320181E-4
557           27.850        6.204756E-4
558           27.900        6.158436E-4
559           27.950        6.119857E-4
560           28.000        6.176822E-4
561           28.050        6.183095E-4
562           28.100        6.125821E-4
563           28.150        6.100413E-4
564           28.200        6.072164E-4
565           28.250        6.074226E-4
566           28.300        6.177571E-4
567           28.350        6.160965E-4
568           28.400        6.178413E-4
569           28.450        6.160684E-4
570           28.500        6.134966E-4
571           28.550        6.147294E-4
572           28.600        6.247144E-4
573           28.650        6.227823E-4
574           28.700        6.166927E-4
575           28.750        6.154940E-4
576           28.800        6.200200E-4
577           28.850        6.347835E-4
578           28.900        6.344059E-4
579           28.950        6.222515E-4
580           29.000        6.243928E-4
581           29.050        6.194394E-4
582           29.100        6.215649E-4
583           29.150        6.204600E-4
584           29.200        6.305230E-4
585           29.250        6.347022E-4
586           29.300        6.385166E-4
587           29.350        6.355109E-4
588           29.400        6.293651E-4
589           29.450        6.245893E-4
590           29.500        6.240152E-4
591           29.550        6.208845E-4
592           29.600        6.307259E-4
593           29.650        6.303451E-4
594           29.700        6.294088E-4
595           29.750        6.206817E-4
596           29.800        6.229320E-4
597           29.850        6.291496E-4
598           29.900        6.322770E-4
599           29.950        6.283224E-4
600           30.000        6.217523E-4
601           30.050        6.262595E-4
602           30.100        6.240620E-4
603           30.150        6.172232E-4
604           30.200        6.204881E-4
605           30.250        6.154723E-4
606           30.300        6.241556E-4
607           30.350        6.294742E-4
608           30.400        6.236499E-4
609           30.450        6.155941E-4
610           30.500        6.089988E-4
611           30.550        6.164273E-4
612           30.600        6.198452E-4
613           30.650        6.115396E-4
614           30.700        6.060179E-4
615           30.750        5.994040E-4
616           30.800        5.949312E-4
617           30.850        5.964918E-4
618           30.900        5.938358E-4
619           30.950        5.934332E-4
620           31.000        6.081653E-4
621           31.050        6.111400E-4
622           31.100        6.034431E-4
623           31.150        6.007088E-4
624           31.200        5.980057E-4
625           31.250        5.998285E-4
626           31.300        5.971099E-4
627           31.350        5.953870E-4
628           31.400        5.945722E-4
629           31.450        6.032307E-4
630           31.500        6.003341E-4
631           31.550        5.945535E-4
632           31.600        5.955587E-4
633           31.650        6.054436E-4
634           31.700        6.088116E-4
635           31.750        6.097979E-4
636           31.800        6.141083E-4
637           31.850        6.154409E-4
638           31.900        6.207129E-4
639           31.950        6.333663E-4
640           32.000        6.439787E-4
641           32.050        6.411760E-4
642           32.100        6.455518E-4
643           32.150        6.447124E-4
644           32.200        6.439569E-4
645           32.250        6.473372E-4
646           32.300        6.433764E-4
647           32.350        6.412384E-4
648           32.400        6.358510E-4
649           32.450        6.432296E-4
650           32.500        6.362942E-4
651           32.550        6.209533E-4
652           32.600        6.202541E-4
653           32.650        6.244740E-4
654           32.700        6.272519E-4
655           32.750        6.211530E-4
656           32.800        6.180662E-4
657           32.850        6.149572E-4
658           32.900        6.200856E-4
659           32.950        6.335225E-4
660           33.000        6.337316E-4
661           33.050        6.273987E-4
662           33.100        6.203945E-4
663           33.150        6.127224E-4
664           33.200        6.078971E-4
665           33.250        6.073695E-4
666           33.300        6.062397E-4
667           33.350        6.120949E-4
668           33.400        6.188964E-4
